STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area
"1","2","1","11","1","3",C,"00",J12111,NPD-13C,"2017",수고측정불가지역,침엽수림,소나무,소경목,3영급,밀,임분고 1m 미만,338.94912275700,5616.93810993000
"1","1","1","12","1","3",C,"00",J11112,APK-13C,"2020",수고측정불가지역,침엽수림,잣나무,소경목,3영급,밀,임분고 1m 미만,515.08421955000,10395.48306860000
"1","2","2","34","2","4",C,"12",J12234,NQQ-24C,,,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 11m 이상 13m미만,409.40764986300,7937.17423697000
"1","2","2","30","2","4",C,"14",J12230,NEB-24C,"2019","기타활엽수류 및 참나무류, 아까시 등",활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1908.12966614000,30057.96238680000
"1","2","3","77","2","4",C,"16",J12377,NMM-24C,"2021",,혼효림,침활혼효림,중경목,4영급,밀,임분고 15m 이상 17m미만,348.21713259700,5918.94734282000
"1","2","2","34","2","4",C,"18",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 17m 이상 19m미만,2862.88639546000,81027.28980889999
"1","2","2","34","2","5",C,"18",J12234,NQQ-25C,"2018",,활엽수림,기타 참나무류,중경목,5영급,밀,임분고 17m 이상 19m미만,100.16654627000,535.24181547800
"0","0","0","93",,,,,J00093,C,,,무립목지/비산림,경작지,,,,,154.67724571500,1508.04702653000
"1","2","2","30","2","5",B,"10",J12230,NEB-25B,"2020",,활엽수림,기타활엽수,중경목,5영급,중,임분고 9m 이상 11m미만,1395.06632717000,27814.76599810000
"1","2","3","77","1","3",C,"00",J12377,NMM-13C,"2019",,혼효림,침활혼효림,소경목,3영급,밀,임분고 1m 미만,521.14362450600,9043.99523018000
"1","2","2","34","2","4",C,"00",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 1m 미만,1051.83176567000,16646.05330830000
"1","1","1","12","1","3",C,"00",J11112,APK-13C,,,침엽수림,잣나무,소경목,3영급,밀,임분고 1m 미만,163.25746315200,1890.81381284000
"1","1","2","49","2","4",C,"00",J11249,ARP-24C,"2017",,활엽수림,아까시나무,중경목,4영급,밀,임분고 1m 미만,523.12848373800,9958.13959469000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,66.55749954730,338.85032238700
"0","0","0","93",,,,,J00093,C,"2020",,무립목지/비산림,경작지,,,,,129.17770588400,961.86202528600
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,155.16952629300,1811.09916274000
"1","2","2","34","2","5",C,"00",J12234,NQQ-25C,"2017",,활엽수림,기타 참나무류,중경목,5영급,밀,임분고 1m 미만,944.72183908700,46974.65503380000
"1","1","1","12","1","3",C,"12",J11112,APK-13C,"2019",,침엽수림,잣나무,소경목,3영급,밀,임분고 11m 이상 13m미만,308.45481019100,3755.69061671000
"1","1","1","12","1","3",C,"08",J11112,APK-13C,,,침엽수림,잣나무,소경목,3영급,밀,임분고 7m 이상 9m미만,345.69200936400,6055.96382983000
"1","2","2","34","2","4",C,"18",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 17m 이상 19m미만,792.75405623100,21508.48925950000
"1","2","2","30","2","4",C,"10",J12230,NEB-24C,"2019",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 9m 이상 11m미만,271.12255332200,2539.11828064000
"1","2","2","34","2","4",C,"14",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 13m 이상 15m미만,273.40175338900,3915.18978391000
"1","2","1","11","2","4",C,"14",J12111,NPD-24C,"2020",,침엽수림,소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,514.00995304100,8243.02368967000
"1","2","2","34","2","4",C,"00",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 1m 미만,1791.04096698000,35859.76711910000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,270.92457983200,4539.95145892000
"1","2","1","11","2","4",C,"00",J12111,NPD-24C,,,침엽수림,소나무,중경목,4영급,밀,임분고 1m 미만,378.27815771900,8281.13251096000
"1","1","2","30","0","1",A,"00",J11230,AEB-01A,"2017","2017사유림_조림(버즘나무,화살나무,활엽수,기타), 2013사유림_조림(복자기나무,40본)",활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,279.20653575100,5151.04058080000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,91.35224042750,586.98249131700
"1","1","2","49","2","4",C,"14",J11249,ARP-24C,"2020",,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,1463.77309610000,65271.95268180000
"1","2","2","34","2","4",C,"14",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 13m 이상 15m미만,2399.69093892000,75399.15075859999
"2","0","0","82",,,,,J20082,R,,,무립목지/비산림,제지,,,,,151.62163894000,756.87541550300
"1","1","2","30","1","3",C,"00",J11230,AEB-13C,,수고측정불가지역,활엽수림,기타활엽수,소경목,3영급,밀,임분고 1m 미만,495.98770611300,6510.85088512000
"1","2","2","30","1","2",C,"00",J12230,NEB-12C,,수고측정불가지역,활엽수림,기타활엽수,소경목,2영급,밀,임분고 1m 미만,262.19058112300,2198.60126734000
"1","1","2","39","2","3",C,"00",J11239,ACA-23C,"2017",수고측정불가지역,활엽수림,밤나무,중경목,3영급,밀,임분고 1m 미만,778.91980103700,24245.07156800000
"0","0","0","93",,,,,J00093,C,"2021",,무립목지/비산림,경작지,,,,,316.57711056900,3303.86712433000
"1","2","2","31","2","4",C,"16",J12231,NQA-24C,"2020",,활엽수림,상수리나무,중경목,4영급,밀,임분고 15m 이상 17m미만,749.31711256800,12544.79374850000
"0","0","0","93",,,,,J00093,C,"2020",,무립목지/비산림,경작지,,,,,93.78489144430,648.24426122300
"1","1","1","18","2","4",C,"22",J11118,ACJ-24C,"2020",,침엽수림,삼나무,중경목,4영급,밀,임분고 21m 이상 23m미만,332.22447152900,3070.73392327000
"1","1","1","12","1","3",C,"12",J11112,APK-13C,"2020",,침엽수림,잣나무,소경목,3영급,밀,임분고 11m 이상 13m미만,449.43230845800,8145.70019647000
"0","0","0","93",,,,,J00093,C,"2020",,무립목지/비산림,경작지,,,,,73.46087962760,259.38241673300
"1","2","2","30","2","4",C,"20",J12230,NEB-24C,"2020",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 19m 이상 21m미만,223.38084536300,1374.94593026000
"1","2","2","30","2","4",C,"20",J12230,NEB-24C,"2017",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 19m 이상 21m미만,795.21003791500,11788.10552560000
"1","1","2","45","2","4",C,"22",J11245,APO-24C,,,활엽수림,포플러,중경목,4영급,밀,임분고 21m 이상 23m미만,430.91894419000,10046.75179670000
"1","2","1","11","2","4",C,"18",J12111,NPD-24C,,,침엽수림,소나무,중경목,4영급,밀,임분고 17m 이상 19m미만,234.90508113800,2984.75889608000
"1","1","1","12","2","3",C,"14",J11112,APK-23C,"2017",,침엽수림,잣나무,중경목,3영급,밀,임분고 13m 이상 15m미만,157.82911283400,995.72169057000
"1","1","1","14","2","4",C,"20",J11114,APR-24C,"2020",,침엽수림,리기다소나무,중경목,4영급,밀,임분고 19m 이상 21m미만,261.52874530600,2920.35612933000
"1","1","1","12","0","1",A,"00",J11112,APK-01A,"2017",,침엽수림,잣나무,치수,1영급,소,임분고 1m 미만,318.64163157000,3356.64773542000
"1","2","2","34","1","4",C,"20",J12234,NQQ-14C,"2021",,활엽수림,기타 참나무류,소경목,4영급,밀,임분고 19m 이상 21m미만,448.15963456600,11229.91349220000
"1","1","2","49","2","4",C,"20",J11249,ARP-24C,"2019",,활엽수림,아까시나무,중경목,4영급,밀,임분고 19m 이상 21m미만,124.33190941300,780.60893108300
"1","2","1","11","2","4",C,"18",J12111,NPD-24C,"2020",,침엽수림,소나무,중경목,4영급,밀,임분고 17m 이상 19m미만,413.77422725300,2543.04579820000
"1","1","1","14","2","5",C,"14",J11114,APR-25C,"2021",,침엽수림,리기다소나무,중경목,5영급,밀,임분고 13m 이상 15m미만,223.89037175700,2818.64609424000
"1","2","2","34","2","5",C,"08",J12234,NQQ-25C,,,활엽수림,기타 참나무류,중경목,5영급,밀,임분고 7m 이상 9m미만,422.91671509500,4224.94809168000
"1","1","2","49","2","4",C,"10",J11249,ARP-24C,"2019",,활엽수림,아까시나무,중경목,4영급,밀,임분고 9m 이상 11m미만,2138.34130499000,46345.55631180000
"1","1","1","12","1","3",C,"12",J11112,APK-13C,"2017",,침엽수림,잣나무,소경목,3영급,밀,임분고 11m 이상 13m미만,138.95150530700,1067.88947232000
"1","1","1","12","1","3",B,"14",J11112,APK-13B,"2017",,침엽수림,잣나무,소경목,3영급,중,임분고 13m 이상 15m미만,201.55369200800,1457.90825655000
"1","2","3","77","2","4",C,"18",J12377,NMM-24C,,,혼효림,침활혼효림,중경목,4영급,밀,임분고 17m 이상 19m미만,924.45487734000,18493.09859460000
"0","0","0","91",,,,,J00091,S,"2019",,무립목지/비산림,주거지,,,,,130.54999653900,944.13638126900
"0","0","0","93",,,,,J00093,C,"2019",,무립목지/비산림,경작지,,,,,570.21902426900,12757.77850840000
"1","2","3","77","2","4",C,"10",J12377,NMM-24C,,,혼효림,침활혼효림,중경목,4영급,밀,임분고 9m 이상 11m미만,210.26417508700,1589.62645283000
"1","2","2","34","2","4",C,"10",J12234,NQQ-24C,"2019",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 9m 이상 11m미만,148.04868162400,1001.77010238000
"0","0","0","91",,,,,J00091,S,"2018",,무립목지/비산림,주거지,,,,,88.73111566590,577.31122454100
"1","2","2","31","2","4",C,"10",J12231,NQA-24C,"2017",,활엽수림,상수리나무,중경목,4영급,밀,임분고 9m 이상 11m미만,265.77281858300,3867.04171418000
"1","2","3","77","1","3",C,"00",J12377,NMM-13C,"2016",,혼효림,침활혼효림,소경목,3영급,밀,임분고 1m 미만,243.82320500100,3808.26651394000
"1","2","1","11","1","3",C,"00",J12111,NPD-13C,"2020",수고측정불가지역,침엽수림,소나무,소경목,3영급,밀,임분고 1m 미만,417.01112122600,8487.11312872000
"1","1","1","12","1","2",A,"16",J11112,APK-12A,,,침엽수림,잣나무,소경목,2영급,소,임분고 15m 이상 17m미만,127.65316448700,817.08786600000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,149.57989536800,1526.05365456000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,240.56241712000,2900.09765703000
"1","2","2","34","2","5",C,,J12234,NQQ-25C,"2018",수고측정불가지역,활엽수림,기타 참나무류,중경목,5영급,밀,,1267.68369057000,23591.65897220000
"1","2","3","77","2","4",C,,J12377,NMM-24C,"2018",수고측정불가지역,혼효림,침활혼효림,중경목,4영급,밀,,933.47617806900,13587.14666220000
"1","2","2","34","2","4",C,,J12234,NQQ-24C,"2017",수고측정불가지역,활엽수림,기타 참나무류,중경목,4영급,밀,,475.99114673100,3409.25294310000
"1","2","2","30","2","4",C,,J12230,NEB-24C,"2018",수고측정불가지역,활엽수림,기타활엽수,중경목,4영급,밀,,1754.71100478000,40019.77981360000
"1","1","2","49","2","4",C,,J11249,ARP-24C,"2020",수고측정불가지역,활엽수림,아까시나무,중경목,4영급,밀,,1873.95349276000,38021.56667410000
"2","0","0","83",,,,,J20083,B,"2017",,무립목지/비산림,관목덤불,,,,,316.16982298200,2465.90639780000
"1","2","2","34","2","4",C,"22",J12234,NQQ-24C,"2019",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 21m 이상 23m미만,1688.96115145000,66080.49927060000
"1","2","3","77","2","3",C,"00",J12377,NMM-23C,"2019",수고측정불가지역,혼효림,침활혼효림,중경목,3영급,밀,임분고 1m 미만,642.84189528500,19192.74854450000
"1","2","2","30","2","4",C,"08",J12230,NEB-24C,"2020",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 7m 이상 9m미만,264.68657069200,3538.80405863000
"1","1","1","14","2","4",C,"10",J11114,APR-24C,"2020",,침엽수림,리기다소나무,중경목,4영급,밀,임분고 9m 이상 11m미만,451.57858677200,4335.73882563000
"1","1","1","14","2","4",C,"12",J11114,APR-24C,"2020",,침엽수림,리기다소나무,중경목,4영급,밀,임분고 11m 이상 13m미만,389.89981369100,5878.19212698000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,503.40051054400,16088.21320290000
"0","0","0","91",,,,,J00091,S,"2018",,무립목지/비산림,주거지,,,,,237.73963329100,2054.46546572000
"0","0","0","91",,,,,J00091,S,"2020",,무립목지/비산림,주거지,,,,,171.42772474400,1398.94257995000
"1","2","2","34","3","5",C,"00",J12234,NQQ-35C,,,활엽수림,기타 참나무류,대경목,5영급,밀,임분고 1m 미만,3912.69408843000,112648.22279699999
"1","2","1","11","2","4",C,,J12111,NPD-24C,"2018",수고측정불가지역,침엽수림,소나무,중경목,4영급,밀,,369.67658545600,6872.59241648000
"1","1","1","12","2","4",C,,J11112,APK-24C,"2018",수고측정불가지역,침엽수림,잣나무,중경목,4영급,밀,,375.36903226700,2471.25638209000
"1","2","2","30","2","4",C,,J12230,NEB-24C,"2018",수고측정불가지역,활엽수림,기타활엽수,중경목,4영급,밀,,748.59239701500,8934.01113539000
"1","2","2","34","2","4",C,"10",J12234,NQQ-24C,"2019",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 9m 이상 11m미만,353.14602714000,4856.50623373000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,160.77119402700,1594.46021609000
"1","2","2","30","2","4",C,"14",J12230,NEB-24C,"2019",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,848.25253162300,17632.80462590000
"1","2","3","77","2","4",C,"10",J12377,NMM-24C,"2018",,혼효림,침활혼효림,중경목,4영급,밀,임분고 9m 이상 11m미만,957.51985941200,32561.11540400000
"1","1","1","14","2","4",C,"10",J11114,APR-24C,"2018",,침엽수림,리기다소나무,중경목,4영급,밀,임분고 9m 이상 11m미만,252.07862409500,3726.37162715000
"1","1","1","12","1","3",C,"06",J11112,APK-13C,,,침엽수림,잣나무,소경목,3영급,밀,임분고 5m 이상 7m미만,143.94847384200,658.15297672300
"1","1","1","12","1","3",C,"06",J11112,APK-13C,"2017",,침엽수림,잣나무,소경목,3영급,밀,임분고 5m 이상 7m미만,681.88991255300,8348.93073103000
"1","1","1","12","1","2",C,"00",J11112,APK-12C,,,침엽수림,잣나무,소경목,2영급,밀,임분고 1m 미만,443.36208583800,3782.36905478000
"1","1","2","49","1","3",C,"08",J11249,ARP-13C,"2020",,활엽수림,아까시나무,소경목,3영급,밀,임분고 7m 이상 9m미만,1197.68638260000,33152.42922380000
"1","1","2","49","2","4",C,"08",J11249,ARP-24C,"2020",,활엽수림,아까시나무,중경목,4영급,밀,임분고 7m 이상 9m미만,510.10312480100,7978.43325672000
"1","1","1","12","2","5",C,"06",J11112,APK-25C,"2021",,침엽수림,잣나무,중경목,5영급,밀,임분고 5m 이상 7m미만,499.93779773700,13702.51318150000
"1","1","2","49","2","4",C,"10",J11249,ARP-24C,,,활엽수림,아까시나무,중경목,4영급,밀,임분고 9m 이상 11m미만,603.10409884500,7316.19775372000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,152.70908998100,1717.17833372000
"1","2","2","30","2","4",C,"08",J12230,NEB-24C,"2020",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 7m 이상 9m미만,595.18970962900,11488.38797410000
"1","2","3","77","2","4",C,"10",J12377,NMM-24C,"2018",,혼효림,침활혼효림,중경목,4영급,밀,임분고 9m 이상 11m미만,349.50369455700,6177.56579734000
"1","2","2","31","2","4",C,"06",J12231,NQA-24C,"2019",,활엽수림,상수리나무,중경목,4영급,밀,임분고 5m 이상 7m미만,704.45475854200,11596.33185210000
"1","1","1","14","2","4",C,"06",J11114,APR-24C,"2018",,침엽수림,리기다소나무,중경목,4영급,밀,임분고 5m 이상 7m미만,617.27680754400,14532.18348990000
"1","2","1","11","2","4",C,"10",J12111,NPD-24C,"2018",,침엽수림,소나무,중경목,4영급,밀,임분고 9m 이상 11m미만,606.06819843500,10152.55683800000
"1","2","3","77","2","5",C,"10",J12377,NMM-25C,"2019",생육불량,혼효림,침활혼효림,중경목,5영급,밀,임분고 9m 이상 11m미만,538.13635566800,7174.61975205000
"1","1","1","12","2","4",A,"08",J11112,APK-24A,"2019",,침엽수림,잣나무,중경목,4영급,소,임분고 7m 이상 9m미만,321.66064124000,2125.82522640000
"1","2","3","77","2","4",C,"12",J12377,NMM-24C,"2020",,혼효림,침활혼효림,중경목,4영급,밀,임분고 11m 이상 13m미만,899.18496849700,31031.50030820000
"0","0","0","91",,,,,J00091,S,"2018",,무립목지/비산림,주거지,,,,,223.75151065500,2447.37637412000
"1","1","1","12","2","4",C,"10",J11112,APK-24C,"2020",,침엽수림,잣나무,중경목,4영급,밀,임분고 9m 이상 11m미만,419.40996952000,3963.67511528000
"1","2","2","30","2","4",C,"18",J12230,NEB-24C,"2021",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 17m 이상 19m미만,896.65263124100,27837.96765530000
"1","2","1","11","2","4",C,"18",J12111,NPD-24C,"2020",,침엽수림,소나무,중경목,4영급,밀,임분고 17m 이상 19m미만,1149.23540751000,35756.70841110000
"1","1","1","12","1","3",B,"12",J11112,APK-13B,"2020",,침엽수림,잣나무,소경목,3영급,중,임분고 11m 이상 13m미만,150.94669460700,1251.68452265000
"1","1","1","14","1","3",B,"12",J11114,APR-13B,"2019",,침엽수림,리기다소나무,소경목,3영급,중,임분고 11m 이상 13m미만,132.71864293000,1149.71778816000
"1","1","2","45","2","4",C,"16",J11245,APO-24C,,,활엽수림,포플러,중경목,4영급,밀,임분고 15m 이상 17m미만,134.07581072000,915.71965201100
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,143.63060173500,1561.54720168000
"1","1","1","13","2","4",C,"18",J11113,ALL-24C,"2018",,침엽수림,낙엽송,중경목,4영급,밀,임분고 17m 이상 19m미만,482.52204038400,7595.95909000000
"1","2","2","30","2","4",C,"16",J12230,NEB-24C,,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 15m 이상 17m미만,913.02635182000,10739.51494090000
"1","2","1","11","2","4",C,"14",J12111,NPD-24C,"2019",,침엽수림,소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,925.35309066900,5921.65311855000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,142.87835030800,1459.53970012000
"1","2","2","34","1","2",B,"10",J12234,NQQ-12B,"2017",,활엽수림,기타 참나무류,소경목,2영급,중,임분고 9m 이상 11m미만,186.12903181300,1202.01096206000
"1","2","1","11","2","4",C,"10",J12111,NPD-24C,,,침엽수림,소나무,중경목,4영급,밀,임분고 9m 이상 11m미만,121.29716634900,693.72331370300
"1","2","1","11","2","4",C,"10",J12111,NPD-24C,"2017",,침엽수림,소나무,중경목,4영급,밀,임분고 9m 이상 11m미만,842.63925903200,13116.40687910000
"1","1","1","12","2","4",C,"16",J11112,APK-24C,"2018",,침엽수림,잣나무,중경목,4영급,밀,임분고 15m 이상 17m미만,762.53968835300,9165.00433134000
"1","2","2","30","2","4",C,,J12230,NEB-24C,"2019",수고측정불가지역,활엽수림,기타활엽수,중경목,4영급,밀,,203.75451836300,1112.03327120000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,112.71630830100,724.87702744000
"1","2","2","34","2","4",C,"14",J12234,NQQ-24C,"2018",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 13m 이상 15m미만,904.58333018300,22127.53518240000
"0","0","0","93",,,,,J00093,C,,,무립목지/비산림,경작지,,,,,97.08206935980,630.23193916500
"1","2","3","77","2","4",C,"10",J12377,NMM-24C,"2017",,혼효림,침활혼효림,중경목,4영급,밀,임분고 9m 이상 11m미만,328.49291551800,5616.66212296000
"1","2","1","11","3","6",C,"20",J12111,NPD-36C,"2018",,침엽수림,소나무,대경목,6영급,밀,임분고 19m 이상 21m미만,1031.58327349000,18324.55845770000
"1","2","1","11","2","5",C,,J12111,NPD-25C,,수고측정불가지역,침엽수림,소나무,중경목,5영급,밀,,235.51648477700,3840.43111089000
"2","0","0","82",,,,,J20082,R,,암석지,무립목지/비산림,제지,,,,,144.04212513900,870.38658741700
"1","1","2","49","2","5",C,"18",J11249,ARP-25C,"2019",,활엽수림,아까시나무,중경목,5영급,밀,임분고 17m 이상 19m미만,1708.62988215000,38211.00854710000
"0","0","0","91",,,,,J00091,S,"2017",,무립목지/비산림,주거지,,,,,680.75044160100,18932.23540790000
"1","2","2","31","2","4",C,"08",J12231,NQA-24C,"2020",,활엽수림,상수리나무,중경목,4영급,밀,임분고 7m 이상 9m미만,2309.92940195000,92294.26230140000
"1","2","3","77","2","4",C,"08",J12377,NMM-24C,,,혼효림,침활혼효림,중경목,4영급,밀,임분고 7m 이상 9m미만,496.98182344900,5579.08058320000
"1","2","2","31","2","4",C,"10",J12231,NQA-24C,"2018",,활엽수림,상수리나무,중경목,4영급,밀,임분고 9m 이상 11m미만,416.05911919500,7033.63959451000
"1","1","1","12","1","3",C,"00",J11112,APK-13C,"2019",수고측정불가지역,침엽수림,잣나무,소경목,3영급,밀,임분고 1m 미만,79.27527485280,400.68387954600
"1","1","2","49","1","3",C,"16",J11249,ARP-13C,"2020",,활엽수림,아까시나무,소경목,3영급,밀,임분고 15m 이상 17m미만,653.33168086700,8783.05174668000
"1","1","1","12","1","3",C,"12",J11112,APK-13C,"2017",,침엽수림,잣나무,소경목,3영급,밀,임분고 11m 이상 13m미만,666.45298545100,5559.79034427000
"1","2","3","77","2","4",B,"08",J12377,NMM-24B,,,혼효림,침활혼효림,중경목,4영급,중,임분고 7m 이상 9m미만,137.63495027800,821.74112151100
"1","1","1","12","2","4",C,"16",J11112,APK-24C,,,침엽수림,잣나무,중경목,4영급,밀,임분고 15m 이상 17m미만,354.86196055100,2568.11211869000
"1","1","1","12","2","4",C,"10",J11112,APK-24C,"2018",,침엽수림,잣나무,중경목,4영급,밀,임분고 9m 이상 11m미만,124.82960638800,856.81795280300
"1","1","2","30","2","4",C,"18",J11230,AEB-24C,"2019",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 17m 이상 19m미만,966.51675002800,16684.44246280000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,106.43615324500,628.89417628100
"1","2","2","30","1","3",C,"12",J12230,NEB-13C,"2018",,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,631.33644451900,14330.80039260000
"1","2","2","30","2","4",C,"16",J12230,NEB-24C,"2019",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 15m 이상 17m미만,502.55444540000,8079.30694158000
